"Medium","Dimensions","Classification","Artist","URL","ArtistNationality","Title","CreditLine","DateAcquired","Department","HasExtraText","MoMANumber","Date","ArtistBio","CuratorApproved","ObjectID","ExtraText","AlchemyConcepts"
"Portfolio of nine lithographs and one photolithographed title page","composition (various dimensions, see child records); sheet (each approx.): 18 x 15"" (45.7 x 38.1 cm)","Print","George Grosz","http://www.moma.org/collection/works/62784","AMERICAN","In the Shadows (Im Schatten)","Purchase","4/26/1945","Prints & Illustrated Books","Y","139.1945.1-10","1921","(American, born Germany. 1893–1959)","Y","62784","This portfolio focuses on the lives of Weimar Germany's forgotten citizens, the toiling proletariat and crippled war veterans who enjoyed none of the glittering pleasures of postwar Berlin. Grosz, a Communist, was sympathetic to the harsh, monotonous lives of the workers and scathingly caricatured fat capitalists, bourgeoisie, and pompous army officers.","Germany (0.978555), Marxism (0.93086), Weimar Republic (0.907166), Communism (0.852469), Means of production (0.821127), Socialism (0.795904), Karl Marx (0.702409), Bourgeoisie (0.678254)"
"Gouache and pencil on paper","15 1/8 x 22 1/2"" (38.4 x 57.2 cm)","Drawing","Marc Chagall","http://www.moma.org/collection/works/85002","FRENCH","Aleko and Zemphira by Moonlight. Study for backdrop for scene 1 of the ballet  Aleko","Acquired through the Lillie P. Bliss Bequest","4/26/1945","Drawings","Y","137.1945.1","-1942","(French, born Belarus. 1887–1985)","Y","85002","For the 1942 Ballet Theatre of New York production (premiere Mexico City). Choreography by Léonide Massine. Music by Pyotr Ilich TchaikovskyChagall left Paris for the United States in 1941, and the following year the choreographer Léonide Massine asked the artist to design a new ballet based on Aleksandr Pushkin's 1824 poem ""The Gypsies."" An admirer of Pushkin, Chagall was eager to work on this Russian-themed ballet, which tells the story of Aleko, a young man who falls in love with the gypsy girl Zemphira, but eventually kills her. These designs for the ballet's four scenic backdrops read as a lexicon of Chagall's painterly motifs: lovers and animals hover against richly saturated grounds, with traces of villages far below. While many theater designers leave the execution of their plans to professional stage painters, Chagall was involved in hand painting the final backdrops.","Alexander Pushkin (0.932431), United States (0.852353), New York City (0.83027), Performing arts (0.762921), Design (0.744411), Global city (0.725065), Ballet choreographers (0.68713), Chicago (0.677644)"
"Gouache and pencil on paper","15 x 10 1/4"" (38.1 x 26 cm)","Drawing","Marc Chagall","http://www.moma.org/collection/works/85030","FRENCH","Aleko. Costume design for the ballet Aleko","Acquired through the Lillie P. Bliss Bequest","4/26/1945","Drawings","Y","137.1945.30","-1942","(French, born Belarus. 1887–1985)","Y","85030","For the 1942 Ballet Theatre of New York production (premiere Mexico City). Choreography by Léonide Massine. Music by Pyotr Ilich Tchaikovsky Chagall accompanied the Ballet Theatre troupe to Mexico, where, outside the jurisdiction of American stage-painters' unions, he was able to help execute his designs. He also personally decorated many of the more than seventy costumes for Aleko, some of which were sewn by his wife, Bella.","New York City (0.921323), Global city (0.817501), Chicago (0.778482), Sergei Diaghilev (0.762727), The Nutcracker (0.704853), Swan Lake (0.66826), Igor Stravinsky (0.648867), Mexico City (0.614264)"
"Watercolor, pencil, and ink on paper","10 3/8 x 16"" (26.4 x 40.6 cm)","Drawing","Marc Chagall","http://www.moma.org/collection/works/85059","FRENCH","Dance of the Gypsies. Sketch for the choreographer for scene 4 of the ballet Aleko","Acquired through the Lillie P. Bliss Bequest","4/26/1945","Drawings","Y","137.1945.59","-1942","(French, born Belarus. 1887–1985)","Y","85059","For the 1942 Ballet Theatre of New York production (premiere Mexico City). Choreography by Léonide Massine. Music by Pyotr Ilich Tchaikovsky In addition to designing the decor and costumes for Aleko, Chagall used line and wash to suggest overall stage compositions and body positions for the ballet's choreographer, Léonide Massine. The boisterous group dances accompanied by hand clapping and fiddle playing depicted in these drawings attest to Aleko's folk-inflected spirit.","Dance (0.94962), Sergei Diaghilev (0.72102), Choreography (0.694843), Performing arts (0.666566), The Nutcracker (0.62497), Ballet choreographers (0.602971), New York City (0.593541), Swan Lake (0.592523)"
"Watercolor and pencil on paper","20 x 16 1/8"" (50.8 x 41 cm)","Drawing","Otto Dix","http://www.moma.org/collection/works/34237","GERMAN","Café Couple (Paar im Café)","Purchase","3/7/1945","Drawings","Y","124.1945","1921","(German, 1891–1969)","Y","34237","Galerie Nierendorf, Berlin [1]. Karl Buchholz, Berlin; on consignment to Buchholz Gallery (Curt Valentin), New York, August 18, 1937 [2]; seized by the Alien Property Custodian, New York, May , 1944; acquired by The Museum of Modern Art, New York, November 1945 [3].[1] Artist's questionnaire, n.d., Collection files, Department of Drawings, The Museum of Modern Art, New York.  [2] Inventory no. 530 (Otto Dix, Two Heads). ""Objects of art owned by Karl Buchholz,"" Vesting order no. 3711, NARA, Washington, DC.[3] Sale of property vested by Alien Property Custodian, lot #23.","Expressionism (0.977663), Art (0.873703), Dada (0.811827), Museum of Modern Art (0.799473), Property law (0.790397), Germany (0.744053), New Objectivity (0.734699), Henri Matisse (0.733265)"
"Limestone","26 5/8 x 10 1/4 x 12 3/8"" (67.6 x 26 x 31.4 cm)","Sculpture","Henri Gaudier-Brzeska","http://www.moma.org/collection/works/80994","FRENCH","Birds Erect","Gift of Mrs. W. Murray Crane","3/7/1945","Painting & Sculpture","Y","127.1945","1914","(French, 1891–1915)","Y","80994","The artist, London. 1914Leicester Galeries, London. By 1918  John Quinn, New York. Purchased from Leicester Galleries, by 1924Walter and Lucie Rosen, Katonah, New York. By 1933 The Museum of Modern Art, New York. Gift of Mrs. Murray Crane, 1945","Museum of Modern Art (0.919394), Henri Matisse (0.843254), Modern art (0.824819), 2007 (0.813043), Art (0.803388), 2003 (0.782251), 2006 (0.780312), Postmodern art (0.748333)"
"Gouache, oil wash, and charcoal on paper","18 x 15"" (45.7 x 38.1 cm)","Drawing","Joan Miró","http://www.moma.org/collection/works/33050","SPANISH","The Beautiful Bird Revealing the Unknown to a Pair of Lovers (from the Constellation series)","Acquired through the Lillie P. Bliss Bequest","1/3/1945","Drawings","Y","7.1945","23-Jul-41","(Spanish, 1893–1983)","Y","33050","This is one of a celebrated group of twenty-four drawings, collectively referred to as the Constellation series, which was executed during a period of personal crisis for Miró triggered by the Spanish Civil War and World War II. Trapped in France from 1936 to 1940, the artist embarked on these obsessively meticulous works on paper in an attempt to commune with nature and escape the tragedies of current events. Despite their modest formats, they represented the most important works of his career up to that time, a fact he quickly realized.The first eleven works in the series were executed in Normandy between December 1939 and May 1940. Although the motifs throughout correspond to Miró's classic repertory, in the earlier works the washed grounds are more saturated, the motifs larger, and the compositions looser than in those that would follow. In the later thirteen works, executed in Palma de Mallorca in 1940–41, of which The Beautiful Bird Revealing the Unknown to a Pair of Lovers is exemplary, the grounds are almost opalescent, and the familiar motifs are smaller and tightly woven into a continuous linear web. In its elusive poetry yet rigorous control, this work not only embodies Miró's artistic personality, but it also mirrors the luminous tracks of constellations in a clear night sky.","World War II (0.983811), Civil war (0.604403), Palma, Majorca (0.594152), Majorca (0.575752), War (0.497087), Spanish Civil War (0.479694), World War I (0.451922), Function (0.433255)"
"Oil on canvas","29 1/4 x 24"" (74.3 x 61 cm)","Painting","Pablo Picasso","http://www.moma.org/collection/works/79322","SPANISH","Fruit Dish","Acquired through the Lillie P. Bliss Bequest","11/8/1944","Painting & Sculpture","Y","263.1944","Paris, winter 1908-09","(Spanish, 1881–1973)","Y","79322","Harry Stevenson Southam, C. M. G., Ottawa, OntarioBignou Gallery, Paris. By 1939E. and A. Silberman Galleries, New YorkThe Museum of Modern Art, New York. Purchased from the Silberman Galleries through the Lillie P. Bliss Bequest, 1944","Museum of Modern Art (0.919394), Henri Matisse (0.843254), Modern art (0.824819), Carleton University (0.765816), Postmodern art (0.751187), Modernism (0.737571), United States (0.700478), Vincent van Gogh (0.699559)"
"Vinylite (polyvinyl chloride) tube ring, plywood frame, aluminum legs, and string netting","28 x 29 1/2 x 31 1/2"" (71.1 x 74.9 x 80 cm)","A&D Design","William H. Miller, Jr.","http://www.moma.org/collection/works/2880","AMERICAN","Chair","Gift of the manufacturer","11/8/1944","Architecture & Design","Y","232.1944","c. 1944","(American)","Y","2880","Composed of vinylite and manufactured by a chemical company, this chair typifies the application of wartime materials and production techniques to a postwar context. Miller was an employee of Gallowhur Chemical Company. During World War II he collaborated with a cousin of Franklin D. Roosevelt to design a pocket-sized water desalination device as standard equipment for Army and Navy fliers.","World War II (0.945484), Franklin D. Roosevelt (0.686183), Manufacturing (0.526974), War (0.472055), United States Navy (0.461954), World War I (0.45715), Water (0.436511), Chemical industry (0.427082)"
"Magnalite and lacquered wood","8 1/2 x 9 13/16"" (21.6 x 25 cm)","A&D Design","John G. Rideout","http://www.moma.org/collection/works/3080","AMERICAN","Magnalite Tea Kettle","Purchase fund","11/8/1944","Architecture & Design","Y","254.1944","1936","(American, 1898–1951)","Y","3080","To counter faltering sales during the Great Depression, more adventurous manufacturers began to employ outside design consultants and invest in materials research. In the 1800s the Wagner Manufacturing Company had built a reputation for traditional cast-iron cookware, but in the early 1930s it introduced Magnalite, a patented magnesium/aluminum alloy. Rideout, one of a new generation of American industrial designers, was brought in to rework the appearance of the company's housewares, including this teakettle. His efforts, however, were focused on aesthetics more than functionality: the kettle's lid is semipermanently attached and may only be removed by first detaching the handle with a screwdriver.","Great Depression (0.979257), Manufacturing (0.651264), Industrial design (0.64945), 1930s (0.620962), Dust Bowl (0.520717), World War II (0.510016), Industry (0.48465), Wall Street Crash of 1929 (0.465531)"
"One from a portfolio of ten lithographs","composition (irreg.): 13 3/4 x 11 7/8"" (35 x 30.2 cm); sheet: 21 x 18"" (53.3 x 45.7 cm)","Print","El Lissitzky","http://www.moma.org/collection/works/62894","RUSSIAN","Announcer (Ansager) from Figurines: The Three-Dimensional Design of the Electro-Mechanical Show ""Victory over the Sun"" (Figurinen, die plastische Gestaltung der elektro-mechanischen Schau ""Sieg über die Sonne"")","Purchase","9/27/1944","Prints & Illustrated Books","Y","143.1944.2","1920-21, published 1923","(Russian, 1890–1941)","Y","62894","For the 1920 UNOVIS production, Vitebsk, USSR. Libretto by Aleksei Kruchenykh. Music by Mikhail Matyushin Performed for the first time in St. Petersburg in 1913, Victory Over the Sun imagined a utopian, mechanized future exemplified by humanity's imprisonment of the sun and its replacement with a new, technological source of light and energy. Written in zaum, an experimental poetic language invented by Russian Futurists and meant to emphasize the inherent meaning of sounds, the opera has been called the first example of Futurist theater. In their reduced geometry, the original sets and costumes by Russian artist Kazimir Malevich heralded an abstraction that became known as Suprematism. In 1920 Lissitsky executed his own designs for Victory Over the Sun, but they were never realized theatrically. In them he represents characters such as the Sportsmen and the Announcer as abstract, electromechanical dolls. Following the opera's own themes, Lissitsky imagined a new kind of theater performed by machines.","Russian avant-garde (0.963645), Kazimir Malevich (0.708074), El Lissitzky (0.629228), Zaum (0.554793), Sun (0.539815), Russia (0.528158), Performing arts (0.524088), Opera (0.522237)"
"One from a portfolio of ten lithographs","Sheet: 21 x 17 7/8"" (53.3 x 45.4 cm)","Print","El Lissitzky","http://www.moma.org/collection/works/88578","RUSSIAN","Sportsmen (Sportsmänner) from Figurines: The Three-Dimensional Design of the Electro-Mechanical Show ""Victory over the Sun"" (Figurinen, die plastische Gestaltung der elektro-mechanischen Schau ""Sieg über die Sonne"")","Purchase
","9/27/1944","Prints & Illustrated Books","Y","143.1944.6","1920-21, published 1923","(Russian, 1890–1941)","Y","88578","For the 1920 UNOVIS production, Vitebsk, USSR. Libretto by Aleksei Kruchenykh. Music by Mikhail MatyushinPerformed for the first time in St. Petersburg in 1913, Victory Over the Sun imagined a utopian, mechanized future exemplified by humanity's imprisonment of the sun and its replacement with a new, technological source of light and energy. Written in zaum, an experimental poetic language invented by Russian Futurists and meant to emphasize the inherent meaning of sounds, the opera has been called the first example of Futurist theater. In their reduced geometry, the original sets and costumes by Russian artist Kazimir Malevich heralded an abstraction that became known as Suprematism. In 1920 Lissitsky executed his own designs for Victory Over the Sun, but they were never realized theatrically. In them he represents characters such as the Sportsmen and the Announcer as abstract, electromechanical dolls. Following the opera's own themes, Lissitsky imagined a new kind of theater performed by machines.","Russian avant-garde (0.95634), Kazimir Malevich (0.823115), El Lissitzky (0.729546), Zaum (0.644469), Sun (0.627395), Russia (0.614998), Performing arts (0.608597), Moscow (0.608125)"
"Oil, gouache, and plaster on canvas","41 7/8 x 67"" (106.4 x 170.2 cm)","Painting","Jackson Pollock","http://www.moma.org/collection/works/78719","AMERICAN","The She-Wolf","Purchase","5/2/1944","Painting & Sculpture","Y","82.1944","1943","(American, 1912–1956)","Y","78719","In the early 1940s Pollock, like many of his peers, explored primeval or mythological themes in his work. The wolf in this painting may allude to the animal that suckled the twin founders of Rome, Romulus and Remus, in the myth of the city's birth. But “She-Wolf came into existence because I had to paint it,” Pollock said in 1944. In an attitude typical of his generation, he added, “Any attempt on my part to say something about it, to attempt explanation of the inexplicable, could only destroy it.” The She-Wolf was featured in Pollock's first solo exhibition, at Art of This Century gallery in New York in 1943. MoMA acquired the painting the following year, making it the first work by Pollock to enter a museum collection.","Rome (0.951641), Romulus and Remus (0.764279), Ancient Rome (0.712571), Palatine Hill (0.693438), Roman Kingdom (0.676354), Vestal Virgin (0.668011), Museum of Modern Art (0.632243), Plutarch (0.586845)"
"Oil on wood","44 3/8 x 28 1/2"" (112.7 x 72.4 cm)","Painting","Balthus (Baltusz Klossowski de Rola)","http://www.moma.org/collection/works/78663","FRENCH","André Derain","Acquired through the Lillie P. Bliss Bequest","5/2/1944","Painting & Sculpture","Y","67.1944","1936","(French, 1908–2001)","Y","78663","The artist. Until 1936Pierre Colle (Galerie Renou et Colle), Paris. Purchased from the artist, 1936Mrs. Stanley B. Resor, New York. Purchased from Pierre Colle, 1936 – 1944The Museum of Modern Art, New York. Purchased from Mrs. Stanley Resor through the Lillie P. Bliss Bequest, 1944","Museum of Modern Art (0.919394), Modernism (0.882431), Henri Matisse (0.843254), Modern art (0.824819), Art (0.802715), New York City (0.753851), Postmodern art (0.710934), United States (0.700478)"
"Oil on canvas","6' 5"" x 8' 3"" (195.6 x 251.5 cm)","Painting","Roberto Matta","http://www.moma.org/collection/works/78651","CHILEAN","The Vertigo of Eros","Given anonymously","3/14/1944","Painting & Sculpture","Y","65.1944","1944","(Chilean, 1911–2002)","Y","78651","The Vertigo of Eros is what Matta called an “inscape,” one of a series of imaginary landscapes he conceived of as projections of his psyche. In 1939, to escape the war in Europe, Matta emigrated from Paris to New York, where he stayed until 1948. His use of spontaneous, unplanned “automatic” drawing and his interest in mysticism, evident in paintings such as this, had a tremendous influence on many New York–based artists. Together with other Surrealists in exile, he quickly made acquaintance with painters, including Jackson Pollock. “We spoke of automatism,” Matta recalled. “The New Yorkers became aware of these things through contact with us, although, as in a Chaplin movie, we had arrived utterly lost.”","Landscape art (0.916008), Painting (0.858192), New York City (0.829046), Peggy Guggenheim (0.733145), Europe (0.724331), United States (0.692279), Museum of Modern Art (0.689244), Academy Award for Best Actor (0.688346)"
"Oil on composition board","11 5/8 x 37"" (29.5 x 94 cm)","Painting","Honoré Sharrer","http://www.moma.org/collection/works/78465","AMERICAN","Workers and Paintings","Gift of Lincoln Kirstein","3/14/1944","Painting & Sculpture","Y","17.1944","1943","(American, 1920–2009)","Y","78465","A salute to American workers, this painting shows ordinary families presenting and reacting to well-known paintings including Grant Wood's iconic American Gothic (1930) and Pablo Picasso's Girl Before the Mirror (1932). In different ways, most of the artists Sharrer chose here, including the French realist Jean-François Millet and the Mexican muralist Diego Rivera, attempted to honor the dignity of working people. Sharrer made Workers and Paintings for a mural competition sponsored by the Springfield Art Museum, in Massachusetts. The work won an honorable mention and was included in MoMA's landmark 1946 exhibition Fourteen Americans. The ten studies were based on photographs that Sharrer adapted for the painting, a method typical of her process. Many decades later, the poet John Ashbery praised her paintings, describing their meticulous style as ""a collaboration between Norman Rockwell and the brothers van Eyck.""","Cubism (0.970487), Diego Rivera (0.853534), Mural (0.80021), Museum of Modern Art (0.725413), Fresco (0.689488), Collage (0.664201), Pablo Picasso (0.644131), Painting (0.591623)"
"Lithograph with watercolor and pencil additions","composition: 18 3/8 x 13 1/16"" (46.7 x 33.1 cm); sheet (irreg.): 23 3/8 x 17 15/16"" (59.4 x 45.5 cm)","Print","Paul Klee","http://www.moma.org/collection/works/59763","GERMAN","Destruction and Hope (Zerstörung und Hoffnung)","Purchase Fund","3/14/1944","Prints & Illustrated Books","Y","9.1944","1916","(German, born Switzerland. 1879–1940)","Y","59763","Hans Goltz, Munich; Staatliche graphische Sammlungen, Munich, 1918 [1]; removed as “degenerate art” by the Reich Ministry for Public Enlightenment and Propaganda, 1937 [2]; on consignment to Karl Buchholz, Berlin; to Buchholz Gallery (Curt Valentin), New York; acquired by The Museum of Modern Art, New York, 1941.[1] Stamp ""K. B. GRAPHISCHE SAMMLUNG"" on verso, center sheet, brown ink. Inventory no. 320.[2] EK no. 15656: Zerstörung und Hoffnung","Modern art (0.930673), Museum of Modern Art (0.784977), Germany (0.749529), Henri Matisse (0.696341), Nazi Germany (0.668264), Ernst Ludwig Kirchner (0.636597), Postmodern art (0.61247), Modernism (0.603881)"
"Oil on canvas","36 1/4 x 42 1/8"" (92.1 x 107 cm)","Painting","Matthew Rackham Barnes","http://www.moma.org/collection/works/80325","AMERICAN","High Peak","Acquired through the Lillie P. Bliss Bequest","12/2/1943","Painting & Sculpture","Y","745.1943","1936","(American, born Scotland.1880–1951)","Y","80325","Barnes painted many desolate scenes like this one, a moonlit landscape in which an isolated house, with a single ghostly figure standing in the doorway, balances tenuously on a hilltop. The artist, who was self–taught, seems to have transferred this mood to his practice, sometimes painting in a largely dark studio, his canvas illuminated by a single lightbulb. High Peak was included in MoMA's 1943 exhibition Romantic Painting in America, which presented Romantic art as ""the temporary triumph of Imagination over Reason in the war between the two."" Barnes was described as continuing an American tradition of ""the Romanticism of night and mystery"" established by the nineteenth–century American painter Albert Pinkham Ryder. High Peak was purchased for the Museum's collection from that show.","Romanticism (0.949238), Western painting (0.909504), History of painting (0.889868), United States (0.720625), Landscape art (0.660634), Albert Pinkham Ryder (0.610029), Hudson River School (0.586032), Hector Berlioz (0.537956)"
"Oil on canvas","26 1/2 x 39 1/2"" (67.3 x 100.3 cm)","Painting","Lyonel Feininger","http://www.moma.org/collection/works/80328","AMERICAN","The Steamer Odin, II","Acquired through the Lillie P. Bliss Bequest","12/2/1943","Painting & Sculpture","Y","751.1943","1927","(American, 1871–1956)","Y","80328","The artist. 1927 – 1943 (On consignment with Galka Scheyer in San Francisco and Los Angeles for extended time)Buchholz Gallery (Curt Valentin), New York. Received on consignment from the artist, October 1943The Museum of Modern Art, New York. Purchased from Buchholz Gallery, 1943","United States (0.985763), Museum of Modern Art (0.799473), Henri Matisse (0.733265), Modern art (0.717234), Art (0.698468), New York City (0.671336), Postmodern art (0.643528), Modernism (0.631688)"
"Painted wood and steel wire","24 1/2 x 15 1/4 x 9 1/2"" (62.2 x 38.7 x 24.1 cm)","Sculpture","Alexander Calder","http://www.moma.org/collection/works/81834","AMERICAN","Constellation with Red Object","James Thrall Soby Fund","11/4/1943","Painting & Sculpture","Y","746.1943","Roxbury, Connecticut, 1943","(American, 1898–1976)","Y","81834","A taut web of wire connects hand–carved wooden forms that project from the wall. Calder made this work in 1943, the year the Museum hosted a major retrospective of his work. At the time, he was the youngest artist to receive this honor.""There wasn't much metal around during the war years, so I tried my hand at wood carving,"" Calder said. ""I have always liked wood carving, but these were now completely abstract shapes."" With its spare, evocative forms, this work underscores the persistent influence Surrealism wielded on his art. It also strikes a note of ambiguity and tension characteristic of much of Surrealist art: does the wire link these disparate elements, or is it a web that traps them? The title suggests a starry vision of night, but the wood elements possess a slightly figurative presence and appear locked irrevocably into place. In 1948 the Brazilian architect Henrique Mindlin wrote, ""Calder's work shows more than just the youthful inventive American spirit. Their 'humor,' their instability, their accidental qualities also betray the anxieties of our era. And the subtle elusive lyricism of his forms bespeaks our disillusionment with the obvious and explicit.""","Max Ernst (0.933301), Surrealism (0.918759), Modernism (0.905305), Marcel Duchamp (0.875482), Anti-art (0.823195), Surrealist Manifesto (0.764191), Andr Breton (0.727722)"
"Bent plywood, bent laminated birch, and solid birch","26 x 23 3/4 x 34 1/2"" (66 x 60.3 x 87.6 cm)","A&D Design","Alvar Aalto","http://www.moma.org/collection/works/92879","FINNISH","Paimio Chair","Gift of Edgar Kaufmann, Jr.
","11/4/1943","Architecture & Design","Y","710.1943.1","1931-32","(Finnish, 1898–1976)","Y","92879","Admired as much for its sculptural presence as for its comfort, the Paimio Chair is a tour de force in bentwood that seems to test the limits of plywood manufacturing. The chair's framework consists of two closed loops of laminated wood, forming arms, legs, and floor runners, between which rides the seat—a thin sheet of plywood tightly bent at both top and bottom into sinuous scrolls, giving it greater resiliency. Inspired by Marcel Breuer's tubular-steel Wassily Chair of 1927—28, Aalto chose, instead, native birch for its natural feel and insulating properties, and developed a more organic form.The Paimio Chair, the best-known piece of furniture designed by Aalto, is named for the town in southwestern Finland for which Aalto designed a tuberculosis sanatorium and all its furnishings. Used in the patients' lounge, the angle of the back of this armchair was intended to help sitters breathe more easily.Aalto's bentwood furniture had a great influence on the American designers Charles and Ray Eames and the Finnish-born Eero Saarinen. In 1935 the Artek company was established in Finland to mass-produce and distribute wood furniture designed by Aalto and his wife, Aino. Most of their designs remain in production.","Modernist architects (0.947792), Alvar Aalto (0.908101), American architects (0.83892), American furniture designers (0.836036), Paimio Sanatorium (0.823096), Decorative arts (0.802009), Finland (0.74189), Plywood (0.680759)"
"Painted wrought-iron rod and leather","Overall: 34 3/8 x 32 3/4 x 29 3/4"" (87.3 x 83.2 x 75.6 cm)","A&D Design","Antonio Bonet, Juan Kurchan, Jorge Ferrari Hardoy","http://www.moma.org/collection/works/4393","SPANISH","B.K.F. Chair","Edgar Kaufmann, Jr. Fund","11/4/1943","Architecture & Design","Y","715.1943.a-b","1938","(Spanish, 1913–1989) (Argentine, 1913–1975) (Argentine, 1914–1977)","Y","4393","The B.K.F. Chair—also known as the Hardoy Chair, Butterfly Chair, Safari Chair, Sling Chair, or Wing Chair—was designed in Buenos Aires. Its name credits its three designers. The first two B.F.K. chairs to come to the United States went to Fallingwater, Edgar Kaufmann Jr.'s home in Pennsylvania (designed by family friend Frank Lloyd Wright), and to MoMA. Kaufmann accurately predicted that the lightweight and inexpensive lounge chair would become hugely popular in the U.S., particularly on the West Coast. Artek-Pascoe produced the chair from 1941 to 1948, sending royalties back to Argentina. Knoll Associates acquired U.S. production rights in the late 1940s and unsuccessfully pursued legal action against unauthorized copies, which continue to be produced to this day.","Frank Lloyd Wright (0.960127), United States (0.846665), Chairs (0.697822), Fallingwater (0.675482), Humid subtropical climate (0.525625), Chicago (0.495367), Latin America (0.491622), Edgar J. Kaufmann (0.471806)"
"Oil on canvas","26 1/4 x 40 1/4"" (66.7 x 102.2 cm)","Painting","Edward Hopper","http://www.moma.org/collection/works/80000","AMERICAN","Gas","Mrs. Simon Guggenheim Fund","7/6/1943","Painting & Sculpture","Y","577.1943","1940","(American, 1882–1967)","Y","80000","This work resulted from a composite representation of several gasoline stations seen by the artist. The light in this painting—both natural and artificial—gives the scene of a gas station and its lone attendant at dusk an underlying sense of drama. But rather than simply depicting a straightforward narrative, Hopper's aim was ""the most exact transcription possible of my most intimate impressions of nature""—in this case, the loneliness of an American country road. Fellow artist Charles Burchfield believed these paintings would remain memorable beyond their time, because in his ""honest presentation of the American scene . . . Hopper does not insist upon what the beholder shall feel.""","Filling station (0.925844), Station (0.559377), Fuel dispenser (0.556764), Mimesis (0.556295), Autogas (0.555204), The American Scene (0.54558), Gas (0.54471), Stations of the Cross (0.544257)"
"Oil on canvas","23 3/4 x 19 3/4"" (60.3 x 50.2 cm)","Painting","Georges Braque","http://www.moma.org/collection/works/78787","FRENCH","Road near L'Estaque","Given anonymously (by exchange)","5/21/1943","Painting & Sculpture","Y","103.1943","L'Estaque, late summer 1908","(French, 1882–1963)","Y","78787","Before Braque began painting the landscape of L'Estaque, in southern France, the town had been a favorite subject for Paul Cézanne, whose 1907 memorial exhibition in Paris had a great impact on the younger artist. This painting makes visible Cézanne's influence on Braque's developing later Cubist style. Braque employs Cézanne's progressive gradations of color and flattened, inaccessible spaces. As Cézanne often did, Braque left an area of canvas unpainted, in the limb of a tree. Road near L'Estaque looks forward to Cubism in its significantly restricted palette of colors, crowded space, and sharp geometric forms.","Cubism (0.97566), Painting (0.777585), Pablo Picasso (0.657321), Collage (0.651323), Paul Czanne (0.647959), Georges Braque (0.565689), History of painting (0.5589), Juan Gris (0.519106)"
"Oil on canvas","50 x 50"" (127 x 127 cm)","Painting","Piet Mondrian","http://www.moma.org/collection/works/78682","DUTCH","Broadway Boogie Woogie","Given anonymously","5/12/1943","Painting & Sculpture","Y","73.1943","1942-43","(Dutch, 1872–1944)","Y","78682","Mondrian, who had escaped to New York from Europe after the outbreak of World War II, delighted in the city's architecture. He was also fascinated by American jazz, particularly boogie-woogie, finding its syncopated beat, irreverent approach to melody, and improvisational aesthetic akin to what he called, in his own work, the ""destruction of natural appearance; and construction through continuous opposition of pure means—dynamic rhythm."" In this painting, his penultimate, Mondrian replaced the black grid that had long governed his canvases with predominantly yellow lines that intersect at points marked by squares of blue and red. These atomized bands of stuttering chromatic pulses, interrupted by light gray, create paths across the canvas suggesting the city's grid, the movement of traffic, and blinking electric lights, as well as the rhythms of jazz.","World War II (0.948102), Jazz (0.773603), Syncopation (0.770998), Rhythm (0.699982), Beat (0.670495), Meter (0.587659), New York City (0.579636), Light (0.57009)"
"Lithograph","29 3/8 x 19 3/16"" (74.7 x 48.6 cm)","A&D Graphic Design","Abram Games","http://www.moma.org/collection/works/5484","BRITISH","Grow Your Own Food","Gift of Mrs. John Carter","5/12/1943","Architecture & Design","Y","173.1943.1-2","1942","(British, 1914–1996)","Y","5484","The thrifty aesthetics and labor-saving ethos of the New Kitchen came to the fore during World War II. Merchant shipping was immediately targeted by German U-boats, disrupting the importation of food into Britain that had previously amounted to 55 million tons a year. From the outset of the war, the mandatory rationing of food, resources, and furnishings became an ever-present concern. Through posters commissioned from leading commercial artists of the day, the Ministry of Information conveyed messages about the vital need for food conservation, home gardening, and the elimination of vermin from the kitchen. Although the political context is now very different, this poster campaign, with its emphasis on food hygiene, eating locally, and responsible consumption, remains relevant today.","World War II (0.95475), World War I (0.615784), Food (0.506639), Typography (0.499082), U-boat (0.450944), Cargo ship (0.404459), Ministry of Truth (0.394027), Famine (0.382004)"
